SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NEWCB,COLORS,NOTE,
1C,WR,N,311175093,SAVS,5420,2,S,9,U,9,9,3,0,0,1,0,0,1,0,68,16.7,300,9/29/11,102,BLCA,8,F,,,,
1C,WR,N,311175094,LISP,5830,2,S,I,U,9,9,3,0,0,4,0,0,0,0,61,19.3,300,9/29/11,105,BLCA,1,F,,,,
1C,WR,N,311175095,LISP,5830,2,S,I,U,9,9,4,0,0,3,0,0,1,0,57,15.3,300,10/14/11,122,BLCA,4,F,,,,
1,WR,N,183161032,SOSP,5810,3,S,B,F,B,9,6,4,0,0,3,F,3,1,60,20,300,9/1/11,83,BLCA,4,F,,,,
1,WR,N,183161033,SOSP,5810,2,S,9,U,9,9,4,0,0,0,0,0,1,0,60,18.8,300,9/1/11,83,BLCA,8,F,,,,
1,WR,N,183161034,SOSP,5810,2,J,9,U,9,9,9,0,0,3,1,0,1,0,67,20.9,300,9/1/11,83,BLCA,7,F,,,,
1,WR,N,183161035,SOSP,5810,3,M,A,U,9,9,9,0,0,3,3,F,1,0,66,22.3,300,9/1/11,84,BLCA,8,F,,,,
1,WR,N,183161036,SOSP,5810,3,M,A,U,9,9,9,0,0,2,3,F,1,0,65,21.6,300,9/1/11,84,BLCA,8,F,,,,
1,WR,N,183161037,SOSP,5810,2,S,J,U,9,9,3,0,0,3,0,0,0,0,62,18.1,300,9/1/11,84,BLCA,8,F,,,,
1,WR,N,183161038,SOSP,5810,2,S,J,U,9,9,2,0,0,1,2,0,1,0,66,999.9,300,9/1/11,93,BLCA,3,F,,,,
1,WR,N,183161039,SOSP,5810,2,S,J,U,9,9,0,0,0,0,1,0,1,0,64,18.6,300,9/1/11,93,BLCA,3,F,,,,
1,WR,N,183161040,SOSP,5810,2,S,J,U,9,9,2,0,0,2,2,0,1,0,64,21.7,300,9/1/11,102,BLCA,7,F,,,,
1,WR,N,183161041,SOSP,5810,U,9,9,U,9,9,9,0,0,1,3,0,1,0,63,21.4,300,9/1/11,102,BLCA,2,F,,,,
1,WR,N,183161042,SOSP,5810,2,S,J,U,9,9,2,0,0,1,2,0,2,0,65,21.6,300,9/1/11,114,BLCA,4,F,,,,
1,WR,N,183161043,SOSP,5810,3,S,C,M,C,9,6,0,1,1,3,F,4,2,64,19.5,300,9/1/11,123,BLCA,4,F,,,,
1,WR,N,183161044,SOSP,5810,2,S,J,U,9,9,3,0,0,1,1,0,1,0,63,18.9,300,9/8/11,83,BLCA,8,F,,,,
1,WR,N,183161045,PUFI,5170,2,S,J,U,9,9,1,0,0,2,1,0,1,0,76,22,300,9/8/11,83,BLCA,9,T,,,,
1,WR,N,183161046,SOSP,5810,3,S,A,U,9,9,6,0,0,1,3,0,1,0,63,19.9,300,9/8/11,83,BLCA,8,F,,,,
1,WR,N,183161047,SOSP,5810,2,S,J,U,9,9,3,0,0,1,1,0,1,0,66,21.3,300,9/8/11,83,BLCA,8,F,,,,
1,WR,N,183161048,SOSP,5810,2,S,J,U,9,9,1,0,0,2,0,0,1,0,63,17,300,9/8/11,83,BLCA,6,F,,,,
1,WR,N,183161049,SOSP,5810,3,S,M,U,9,9,6,0,0,9,3,F,1,0,61,21.6,300,9/8/11,83,BLCA,1,F,,,,
1,WR,N,183161050,SOSP,5810,2,S,J,U,9,9,2,9,9,9,9,9,9,9,63,19.3,300,9/8/11,101,BLCA,4,F,,,,
1,WR,N,183161051,SOSP,5810,2,S,J,U,9,9,1,9,9,9,9,9,9,9,999,999.9,300,9/8/11,101,BLCA,4,F,,,,
1,WR,N,183161052,SOSP,5810,2,S,J,U,9,9,2,9,9,9,9,9,9,9,999,999.9,300,9/8/11,114,BLCA,10,F,,,,
1,WR,N,183161053,SOSP,5810,2,S,J,U,9,9,3,0,0,0,3,0,1,0,63,19.6,300,9/15/11,83,BLCA,1,F,,,,
1,WR,N,183161054,SOSP,5810,2,S,J,U,9,9,3,0,0,0,1,0,1,0,65,21.5,300,9/15/11,90,BLCA,3,F,,,,
1,WR,N,183161055,SOSP,5810,2,S,J,U,9,9,3,0,0,0,3,0,2,0,59,19.8,300,9/15/11,92,BLCA,7,F,,,,
1,WR,N,183161056,SOSP,5810,3,A,M,U,9,9,9,0,0,1,3,F,3,1,64,22,300,9/15/11,92,BLCA,5,F,,,,
1,WR,N,183161057,SOSP,5810,2,S,9,U,9,9,1,0,0,1,3,0,3,1,65,23.1,300,9/15/11,100,BLCA,1,F,,,,
1,JB,N,183161058,SOSP,5810,2,S,J,U,9,9,1,0,0,0,1,0,1,0,65,19.5,300,9/15/11,103,BLCA,5,F,,,,
1,JB,N,183161059,SOSP,5810,2,S,9,U,9,9,1,0,0,0,0,0,1,0,67,19.4,300,9/15/11,103,BLCA,3,F,,,,
